Pardubice;Bukovka;331
Sušice;Bukovník;54
Mladá Boleslav;Bukovno;565
Jičín;Bukvice;131
Břeclav;Bulhary;649
Frýdlant;Bulovka;775
Pacov;Buřenice;185
Černošice;Buš;304
Prachatice;Bušanovice;234
Šumperk;Bušín;344
Rokycany;Bušovice;508
Kladno;Buštěhrad;2667
Jičín;Butoves;223
Blatná;Buzice;142
Litoměřice;Býčkovice;259
Kolín;Býchory;485
Mělník;Býkev;373
Beroun;Bykoš;192
Blansko;Býkovice;191
Krnov;Býkov-Láryšov;135
Chrudim;Bylany;345
Děčín;Bynovec;269
Humpolec;Bystrá;98
Semily;Bystrá nad Jizerou;98
Dobruška;Bystré;217
Polička;Bystré;1308
Olomouc;Bystročice;661
Olomouc;Bystrovany;838
Teplice;Bystřany;1712
Žamberk;Bystřec;965
Jičín;Bystřice;293
Třinec;Bystřice;4508
Benešov;Bystřice;3681
Bystřice nad Pernštejnem;Bystřice nad Pernštejnem;6948
Bystřice pod Hostýnem;Bystřice pod Hostýnem;7101
Uherský Brod;Bystřice pod Lopeníkem;698
Vsetín;Bystřička;865
Mělník;Byšice;1121
Hranice;Býškovice;333
Bystřice nad Pernštejnem;Býšovec;142
Holice;Býšť;1279
Rychnov nad Kněžnou;Byzhradec;181
Kyjov;Bzenec;3724
Hořovice;Bzová;380
Teplice;Bžany;762
Stříbro;Cebiv;238
Strakonice;Cehnice;413
Jihlava;Cejle;414
Rokycany;Cekov;113
Třeboň;Cep;162
Hořice;Cerekvice nad Bystřicí;653
Litomyšl;Cerekvice nad Loučnou;682
Jihlava;Cerekvička-Rosice;142
Kolín;Cerhenice;1422
Písek;Cerhonice;128
Hořovice;Cerhovice;935
Kroměříž;Cetechovice;154
Liberec;Cetenov;92
Boskovice;Cetkovice;642
Pacov;Cetoraz;271
Příbram;Cetyně;139
Moravské Budějovice;Cidlina;78
Žďár nad Sázavou;Cikháj;83
Kolín;Církvice;137
Kutná Hora;Církvice;1080
Přerov;Císařov;269
Sokolov;Citice;765
Louny;Cítoliby;913
Znojmo;Citonice;490
Přerov;Citov;457
Mělník;Cítov;1001
Dačice;Cizkrajov;453
Lanškroun;Cotkytle;325
Boskovice;Crhov;145
Chrudim;Ctětín;225
Tachov;Ctiboř;276
Vlašim;Ctiboř;115
Znojmo;Ctidružice;263
Mladá Boleslav;Ctiměřice;114
Roudnice nad Labem;Ctiněves;304
Nový Bor;Cvikov;3826
Pohořelice;Cvrčovice;533
Kladno;Cvrčovice;612
Chotěboř;Čachotín;147
Mladá Boleslav;Čachovice;730
Klatovy;Čachrov;431
České Budějovice;Čakov;241
Benešov;Čakov;104
Krnov;Čaková;269
Neratovice;Čakovičky;542
Chrudim;Čankovice;275
Čáslav;Čáslav;8357
Třebíč;Čáslavice;467
Pacov;Čáslavsko;102
Tachov;Částkov;277
Uherské Hradiště;Částkov;328
Moravské Budějovice;Častohostice;164
Kostelec nad Orlicí;Častolovice;1370
Pelhřimov;Častrov;516
Pardubice;Časy;185
Ostrava;Čavisov;435
Kuřim;Čebín;1492
Mělník;Čečelice;555
Blatná;Čečelovice;172
Chotěboř;Čečkovice;75
Stod;Čečovice;65
Prostějov;Čehovice;446
Třebíč;Čechočovice;265
Vlašim;Čechtice;1179
Třebíč;Čechtín;261
Přerov;Čechy;287
Prostějov;Čechy pod Kosířem;875
Hodonín;Čejč;1073
Strakonice;Čejetice;773
České Budějovice;Čejkovice;308
Hodonín;Čejkovice;2117
Znojmo;Čejkovice;190
Čáslav;Čejkovice;31
Humpolec;Čejov;491
Frýdlant nad Ostravicí;Čeladná;2378
Brandýs nad Labem-Stará Boleslav;Čelákovice;9521
Prostějov;Čelčice;454
Přerov;Čelechovice;103
Prostějov;Čelechovice na Hané;1121
Pelhřimov;Čelistná;85
Kyjov;Čeložnice;362
Nýřany;Čeminy;225
Příbram;Čenkov;339
Týn nad Vltavou;Čenkov u Bechyně;48
Lanškroun;Čenkovice;155
Pardubice;Čeperka;942
Pardubice;Čepí;362
Strakonice;Čepřovice;166
Žatec;Čeradice;266
Benešov;Čerčany;2333
Moravský Krumlov;Čermákovice;85
Vrchlabí;Čermná;353
Horšovský Týn;Čermná;216
Kostelec nad Orlicí;Čermná nad Orlicí;866
Vítkov;Čermná ve Slezsku;304
Velké Meziříčí;Černá;254
Blansko;Černá Hora;1720
Pardubice;Černá u Bohdanče;469
Český Krumlov;Černá v Pošumaví;683
Jeseník;Černá Voda;485
Karlovy Vary;Černava;269
Nové Město nad Metují;Černčice;411
Louny;Černčice;1141
Říčany;Černé Voděrady;305
Roudnice nad Labem;Černěves;185
Telč;Černíč;104
Klatovy;Černíkov;295
Rychnov nad Kněžnou;Černíkovice;625
Kralovice;Černíkovice;75
Český Brod;Černíky;113
Hradec Králové;Černilov;2041
Znojmo;Černín;122
Kutná Hora;Černíny;345
Lovosice;Černiv;131
Černošice;Černolice;380
Černošice;Černošice;5723
Stříbro;Černošín;941
Hranice;Černotín;685
Roudnice nad Labem;Černouček;264
Frýdlant;Černousy;271
Pelhřimov;Černov;97
Boskovice;Černovice;319
Pelhřimov;Černovice;1526
Stod;Černovice;149
Chomutov;Černovice;524
Nýřany;Čerňovice;172
Hradec Králové;Černožice;939
Slaný;Černuc;823
Tišnov;Černvír;134
Vrchlabí;Černý Důl;569
Tábor;Černýšovice;73
Náchod;Červená Hora;165
Třebíč;Červená Lhota;160
Pelhřimov;Červená Řečice;849
Hořice;Červená Třemešná;137
Králíky;Červená Voda;2511
Kutná Hora;Červené Janovice;586
Kolín;Červené Pečky;1526
Klatovy;Červené Poříčí;198
Litovel;Červenka;1215
Dačice;Červený Hrádek;178
Náchod;Červený Kostelec;7038
Černošice;Červený Újezd;1113
Votice;Červený Újezd;278
Kuřim;Česká;824
Havlíčkův Brod;Česká Bělá;868
Nýřany;Česká Bříza;481
Náchod;Česká Čermná;432
Děčín;Česká Kamenice;4378
Domažlice;Česká Kubice;565
Česká Lípa;Česká Lípa;30560
Náchod;Česká Metuje;237
Žamberk;Česká Rybná;315
Náchod;Česká Skalice;4375
Česká Třebová;Česká Třebová;13142
Jeseník;Česká Ves;2102
České Budějovice;České Budějovice;77327
Vysoké Mýto;České Heřmanice;485
Chrudim;České Lhotice;105
Ústí nad Orlicí;České Libchavy;518
Dobruška;České Meziříčí;1537
Žamberk;České Petrovice;140
Třeboň;České Velenice;2557
Český Brod;Český Brod;5740
Liberec;Český Dub;2193
Litvínov;Český Jiřetín;82
Český Krumlov;Český Krumlov;10740
Dačice;Český Rudolec;806
Benešov;Český Šternberk;124
Český Těšín;Český Těšín;20444
Strakonice;Čestice;763
Kostelec nad Orlicí;Čestice;518
Kutná Hora;Čestín;376
Říčany;Čestlice;537
Jičín;Češov;201
Vodňany;Číčenice;386
Černošice;Číčovice;249
Třebíč;Číhalín;163
Klatovy;Číhaň;188
Světlá nad Sázavou;Číhošť;296
Karlovy Vary;Čichalov;151
Třebíč;Číchov;205
Náměšť nad Oslavou;Čikov;187
Rokycany;Čilá;17
Nymburk;Čilec;197
Dobříš;Čím;255
Písek;Čimelice;850
Jindřichův Hradec;Číměř;625
Třebíč;Číměř;173
Sušice;Čímice;136
Poděbrady;Činěves;434
Černošice;Čisovice;884
Litomyšl;Čistá;832
Mladá Boleslav;Čistá;652
Rakovník;Čistá;760
Jilemnice;Čistá u Horek;473
Hradec Králové;Čistěves;150
Přeštice;Čižice;479
Pelhřimov;Čížkov;113
Nepomuk;Čížkov;530
Lovosice;Čížkovice;1206
Trhové Sviny;Čížkrajice;208
Jihlava;Čížov;245
Písek;Čížová;1013
Vimperk;Čkyně;1348
Jindřichův Hradec;Člunek;401
Nepomuk;Čmelíny;111
Turnov;Čtveřín;448
Benešov;Čtyřkoly;568
Ivančice;Čučice;363
Dačice;Dačice;6296
